Palette: 10
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.5
overseersMin: 0
overseersMax: 4
playerGuideOverseerSpawnChance: 0.5
ghostRelKarmaReq: 4
Subregion: Ruined Bridge
Room Setting Templates: Outside, Inside
Room_Attr: CC_C09: WhiteLizard-Like,CyanLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_C12: WhiteLizard-Like,Vulture-Like,KingVulture-Like,
Room_Attr: CC_A06: WhiteLizard-Like,CyanLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_H01: CyanLizard-Stay,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_C07: WhiteLizard-Like,CyanLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_B04: WhiteLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_D01: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: CC_C13: BigSpider-Stay,SpitterSpider-Stay,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_A15: BlueLizard-Avoid,Vulture-Like,KingVulture-Like,
Room_Attr: CC_B08: PinkLizard-Like,WhiteLizard-Like,
Room_Attr: CC_B05: PinkLizard-Like,WhiteLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: CC_A10: WhiteLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_B01: PinkLizard-Like,WhiteLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: CC_B06: PinkLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_C04: WhiteLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_B13: SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: CC_C05: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Like,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_B10: BlueLizard-Avoid,WhiteLizard-Avoid,Vulture-Forbidden,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: CC_A12: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_A02: CyanLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: CC_A16: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_C08: PinkLizard-Like,CyanLizard-Like,BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: CC_A07: PinkLizard-Like,CyanLizard-Like,BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: CC_C11: PinkLizard-Avoid,CyanLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: CC_B12: CyanLizard-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: CC_F01: SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: CC_C03: PinkLizard-Avoid,GreenLizard-Like,CyanLizard-Forbidden,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_A17: BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_S03: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,KingVulture-Forbidden,
Room_Attr: CC_B11: PinkLizard-Avoid,GreenLizard-Like,WhiteLizard-Avoid,CyanLizard-Avoid,BigSpider-Stay,SpitterSpider-Stay,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_B14: SmallNeedleWorm-Like,BigNeedleWorm-Like,
